"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-8.44880147736597e-08,2.28498359067247e-05,-8.44880147736597e-08,2.28498359067247e-05
"2","c.1",0,0.000507449831352798,0.0415137837364468,0.000507449831352798,0.0415137837364468
"3","c.2",0,0.000782169141997987,0.0264786312801156,0.000782169141997987,0.0264786312801156
"4","x.1",1,0.999858602464418,0.00878338984474184,-0.000141397535582438,0.00878338984474184
"5","x.2",1,0.999099673655778,0.066914675378581,-0.000900326344221747,0.066914675378581
"6","x.3",1,0.999502406846173,0.019109389466281,-0.000497593153826901,0.019109389466281
