"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,1.87111546632228e-07,7.6564570430359e-06,1.87111546632228e-07,7.6564570430359e-06
"2","c.1",0,5.10871716110636e-05,0.00939550218495856,5.10871716110636e-05,0.00939550218495856
"3","c.2",0,-0.000126102640699217,0.0088399985427921,-0.000126102640699217,0.0088399985427921
"4","x.1",1,0.999898143455225,0.0222234451229285,-0.000101856544775128,0.0222234451229285
"5","x.2",1,0.999661130328553,0.0228688688124722,-0.000338869671447461,0.0228688688124722
"6","x.3",1,1.00030314750333,0.00599368256753583,0.000303147503334753,0.00599368256753583
