"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-2.39072790449118e-07,1.95860873224043e-06,-2.39072790449118e-07,1.95860873224043e-06
"2","c.1",0,-0.0013143112276529,0.00123553570098942,-0.0013143112276529,0.00123553570098942
"3","c.2",0,-2.45855454025671e-05,0.00214867489733339,-2.45855454025671e-05,0.00214867489733339
"4","x.1",1,1.01769866161651,0.0210977038041221,0.017698661616508,0.0210977038041221
"5","x.2",1,1.00076668422041,0.00974673290981603,0.000766684220406035,0.00974673290981603
"6","x.3",1,0.999131895786314,0.00195474138333142,-0.000868104213686012,0.00195474138333142
