"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,5.6675618931413e-08,2.06250259909066e-06,5.6675618931413e-08,2.06250259909066e-06
"2","c.1",0,-6.89524102265637e-05,0.00165440682231569,-6.89524102265637e-05,0.00165440682231569
"3","c.2",0,-7.87564278347938e-05,0.00225541614565834,-7.87564278347938e-05,0.00225541614565834
"4","x.1",1,0.999981664999876,0.00928707565925141,-1.83350001243059e-05,0.00928707565925141
"5","x.2",1,1.00016264163536,0.00960826335017117,0.000162641635362648,0.00960826335017117
"6","x.3",1,1.00002187240775,0.00138949203714087,2.18724077515635e-05,0.00138949203714087
