"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-1.99466748313102e-07,4.56478847565134e-06,-1.99466748313102e-07,4.56478847565134e-06
"2","c.1",0,-0.00125499822076728,0.00320619073591316,-0.00125499822076728,0.00320619073591316
"3","c.2",0,0.000209705901938282,0.00518502980287099,0.000209705901938282,0.00518502980287099
"4","x.1",1,0.999971003586544,0.00398907224754345,-2.89964134560496e-05,0.00398907224754345
"5","x.2",1,1.00429587015817,0.0166091707424086,0.00429587015817079,0.0166091707424086
"6","x.3",1,0.999408545880453,0.00525511902255397,-0.000591454119546878,0.00525511902255397
