"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,0,0,0,0
"2","c.1",0,0.0106964947703289,0.00945777914513642,0.0106964947703289,0.00945777914513642
"3","c.2",0,4.18824752645595e-05,0.000498066324781299,4.18824752645595e-05,0.000498066324781299
"4","x.1",1,0.963942784630966,0.0668849826268793,-0.0360572153690344,0.0668849826268793
"5","x.2",1,0.887317081212591,0.0217143807318897,-0.112682918787409,0.0217143807318897
"6","x.3",1,1.00191901215013,0.00439897770743666,0.00191901215012846,0.00439897770743666
