"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-3.80849359674268e-07,1.05790074524218e-05,-3.80849359674268e-07,1.05790074524218e-05
"2","c.1",0,-0.000744981976863979,0.0195969150653834,-0.000744981976863979,0.0195969150653834
"3","c.2",0,0.000201892033108404,0.0121621008174391,0.000201892033108404,0.0121621008174391
"4","x.1",1,0.999963126270909,0.0040065236023351,-3.68737290911252e-05,0.0040065236023351
"5","x.2",1,1.0008361167047,0.0301510511031171,0.000836116704699654,0.0301510511031171
"6","x.3",1,0.99961156976896,0.00828888502499427,-0.000388430231040137,0.00828888502499427
