"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-2.98367602767714e-07,7.50372572903716e-06,-2.98367602767714e-07,7.50372572903716e-06
"2","c.1",0,0.00016757890694812,0.0114852794336886,0.00016757890694812,0.0114852794336886
"3","c.2",0,-0.000321538865677918,0.00898742940908409,-0.000321538865677918,0.00898742940908409
"4","x.1",1,0.997178744238643,0.0774480858463924,-0.00282125576135649,0.0774480858463924
"5","x.2",1,1.0001437578102,0.0225187645576484,0.000143757810198295,0.0225187645576484
"6","x.3",1,1.00015576683459,0.0059167598314178,0.000155766834591198,0.0059167598314178
