"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,2.16757808062186e-07,9.75904816696077e-06,2.16757808062186e-07,9.75904816696077e-06
"2","c.1",0,-0.000443124016840451,0.0130340628433393,-0.000443124016840451,0.0130340628433393
"3","c.2",0,0.0003240391919772,0.0104076727662929,0.0003240391919772,0.0104076727662929
"4","x.1",1,1.00025294381125,0.00855129793013629,0.000252943811250874,0.00855129793013629
"5","x.2",1,0.999618727398202,0.0256803984194911,-0.000381272601797985,0.0256803984194911
"6","x.3",1,0.999851571812705,0.0186711796112405,-0.000148428187295173,0.0186711796112405
