"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-1.05023428636231e-06,1.00386635966715e-05,-1.05023428636231e-06,1.00386635966715e-05
"2","c.1",0,0.000212991393218997,0.0117531656751628,0.000212991393218997,0.0117531656751628
"3","c.2",0,-0.000242889495664052,0.0117399080251534,-0.000242889495664052,0.0117399080251534
"4","x.1",1,1.00016554884985,0.00400140829687307,0.000165548849852362,0.00400140829687307
"5","x.2",1,1.00017697403535,0.0121615810313067,0.000176974035351186,0.0121615810313067
"6","x.3",1,1.00021859567726,0.00855382278984642,0.000218595677260151,0.00855382278984642
