"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,7.63842436376784e-07,3.95258482042277e-06,7.63842436376784e-07,3.95258482042277e-06
"2","c.1",0,0.0548908696068218,0.0365868073353238,0.0548908696068218,0.0365868073353238
"3","c.2",0,0.00103654284367344,0.0043675326534587,0.00103654284367344,0.0043675326534587
"4","x.1",1,0.979924379167197,0.00875955313284274,-0.0200756208328035,0.00875955313284274
"5","x.2",1,0.895461076339689,0.0638328083519358,-0.104538923660311,0.0638328083519358
"6","x.3",1,1.00126850967932,0.01291381300146,0.00126850967932274,0.01291381300146
