"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,1.90764041185359e-08,6.03248865803901e-07,1.90764041185359e-08,6.03248865803901e-07
"2","c.1",0,0.000195049515368279,0.00160017611386149,0.000195049515368279,0.00160017611386149
"3","c.2",0,1.07890649285205e-06,2.79417032736515e-05,1.07890649285205e-06,2.79417032736515e-05
"4","x.1",1,0.96837791643282,0.00860295887891683,-0.0316220835671795,0.00860295887891683
"5","x.2",1,1.03069448618838,0.0128136287938513,0.0306944861883834,0.0128136287938513
"6","x.3",1,0.967367215344589,0.0166516819640255,-0.0326327846554109,0.0166516819640255
