"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-1.05092007302326e-06,1.00402021208461e-05,-1.05092007302326e-06,1.00402021208461e-05
"2","c.1",0,0.000212887998267763,0.0117545001287536,0.000212887998267763,0.0117545001287536
"3","c.2",0,-0.000239280062615184,0.0117413903752561,-0.000239280062615184,0.0117413903752561
"4","x.1",1,1.0001655638776,0.00400138796942377,0.000165563877596462,0.00400138796942377
"5","x.2",1,1.00017700059852,0.0121616009332686,0.000177000598518672,0.0121616009332686
"6","x.3",1,1.00021855446452,0.00855381058296469,0.000218554464520041,0.00855381058296469
