"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,4.42919990979796e-08,3.35434312652527e-06,4.42919990979796e-08,3.35434312652527e-06
"2","c.1",0,-0.000296362151846848,0.00558673353405319,-0.000296362151846848,0.00558673353405319
"3","c.2",0,3.04553997476113e-05,0.00407707800718054,3.04553997476113e-05,0.00407707800718054
"4","x.1",1,1.00122994023294,0.0345665306914642,0.00122994023293683,0.0345665306914642
"5","x.2",1,0.999741538414634,0.0099962351187818,-0.000258461585366306,0.0099962351187818
"6","x.3",1,0.999870581877626,0.00290805184742411,-0.000129418122373725,0.00290805184742411
