"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,2.86454951595673e-09,5.2330584544302e-08,2.86454951595673e-09,5.2330584544302e-08
"2","c.1",0,0.0164090672399769,0.0074346009627591,0.0164090672399769,0.0074346009627591
"3","c.2",0,3.08151236436648e-05,0.000400964329495553,3.08151236436648e-05,0.000400964329495553
"4","x.1",1,0.925659620218328,0.0221645839032166,-0.074340379781672,0.0221645839032166
"5","x.2",1,0.908222273366619,0.0228433712702684,-0.0917777266333814,0.0228433712702684
"6","x.3",1,0.998113524649772,0.00432479536618529,-0.00188647535022811,0.00432479536618529
