"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-1.99480895870387e-08,2.2362494741719e-05,-1.99480895870387e-08,2.2362494741719e-05
"2","c.1",0,-0.000975286028900367,0.027423079992003,-0.000975286028900367,0.027423079992003
"3","c.2",0,0.00103763481854093,0.0257469143233579,0.00103763481854093,0.0257469143233579
"4","x.1",1,1.00025065702555,0.00854784898280214,0.000250657025548271,0.00854784898280214
"5","x.2",1,0.999642121342286,0.0256978574014916,-0.000357878657714244,0.0256978574014916
"6","x.3",1,0.999861632849227,0.0186737739627785,-0.000138367150773216,0.0186737739627785
