"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,2.70209004502761e-08,3.63768382993782e-06,2.70209004502761e-08,3.63768382993782e-06
"2","c.1",0,-0.000154343281447561,0.00426326832731417,-0.000154343281447561,0.00426326832731417
"3","c.2",0,-0.000188394019170614,0.00407039390215956,-0.000188394019170614,0.00407039390215956
"4","x.1",1,0.999878011366274,0.00964824284310847,-0.00012198863372653,0.00964824284310847
"5","x.2",1,1.00011737355331,0.00965904645876967,0.000117373553310001,0.00965904645876967
"6","x.3",1,0.99990035944889,0.00292427854715777,-9.96405511095232e-05,0.00292427854715777
