"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-3.82951878632104e-07,1.05781418659927e-05,-3.82951878632104e-07,1.05781418659927e-05
"2","c.1",0,-0.000737701950365145,0.0195930127684134,-0.000737701950365145,0.0195930127684134
"3","c.2",0,0.000198760878618042,0.0121610541799989,0.000198760878618042,0.0121610541799989
"4","x.1",1,0.999963111561587,0.00400651576970351,-3.68884384125244e-05,0.00400651576970351
"5","x.2",1,1.00082728476716,0.030143620713584,0.000827284767157552,0.030143620713584
"6","x.3",1,0.999611582304083,0.00828890466929149,-0.000388417695917229,0.00828890466929149
