"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,-1.9474353627599e-06,5.03797751641172e-06,-1.9474353627599e-06,5.03797751641172e-06
"2","c.1",0,-0.00252148817420942,0.00425113748218893,-0.00252148817420942,0.00425113748218893
"3","c.2",0,-0.00122405537001644,0.00597765784561226,-0.00122405537001644,0.00597765784561226
"4","x.1",1,0.999913927187446,0.00400647846133309,-8.60728125535903e-05,0.00400647846133309
"5","x.2",1,1.00604170656209,0.00623804371669899,0.00604170656208599,0.00623804371669899
"6","x.3",1,0.994954478005145,0.00749765067565114,-0.00504552199485508,0.00749765067565114
