"","Variable","True","Mean","SD","BiasMean","BiasSD"
"1","id",0,2.60225889573479e-08,3.63739118269922e-06,2.60225889573479e-08,3.63739118269922e-06
"2","c.1",0,-0.000153662808083046,0.00426284303032573,-0.000153662808083046,0.00426284303032573
"3","c.2",0,-0.000187696915999813,0.00406994304915211,-0.000187696915999813,0.00406994304915211
"4","x.1",1,0.999877422612312,0.00964761862655104,-0.000122577387687776,0.00964761862655104
"5","x.2",1,1.00011715144077,0.00965908691962008,0.000117151440766881,0.00965908691962008
"6","x.3",1,0.999900361301413,0.00292428371807728,-9.9638698587326e-05,0.00292428371807728
