"","Variable","True","Mean","SD"
"1","id",0,4.54593962145866e-08,3.35464437807998e-06
"2","c.1",0,-0.000293602607724576,0.00558746805294641
"3","c.2",0,2.98368888147756e-05,0.00407746705795396
"4","x.1",1,1.00121816112942,0.0345645986360645
"5","x.2",1,0.999741444134648,0.00999561174844431
"6","x.3",1,0.999870590982181,0.00290803807055678
